Sentence,Entities
"Microsoft raised ₹50,000 in 2023.","[(0, 9, 'ORG'), (28, 32, 'DATE'), (17, 24, 'MONEY')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
Sarah wrote about Starry Night in Hindi.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 39, 'LANGUAGE')]"
Olivia donated €200 to UNICEF.,"[(0, 6, 'PER'), (23, 29, 'ORG'), (23, 25, 'ORG'), (15, 19, 'MONEY')]"
Amazon announced a new Surface Pro on December 2024.,"[(0, 6, 'ORG'), (38, 51, 'DATE'), (23, 34, 'PRODUCT')]"
Liam is an Canadian citizen working in Rome.,"[(0, 4, 'PER'), (39, 43, 'LOC'), (11, 19, 'NATIONALITY')]"
The Sydney Opera House is a famous monument in Mumbai.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
WHO follows the Copyright Law strictly.,"[(0, 3, 'ORG'), (16, 29, 'LAW')]"
Emma visited Berlin during the Comic-Con.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
Olivia is an Canadian citizen working in Tokyo.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
Galaxy S22 was launched by Apple at the Super Bowl.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 50, 'EVENT')]"
Galaxy S22 was launched by NASA at the Super Bowl.,"[(27, 31, 'ORG'), (0, 10, 'PRODUCT'), (39, 49, 'EVENT')]"
Sophia donated $5 million to Apple.,"[(0, 6, 'PER'), (29, 34, 'ORG'), (15, 25, 'MONEY')]"
Pixel 8 was launched by Google at the World Cup.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
Mona Lisa is displayed at a museum in Berlin.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in Paris.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Michael donated $5 million to UN.,"[(0, 7, 'PER'), (30, 32, 'ORG'), (16, 26, 'MONEY')]"
Amazon raised €1 billion in Monday.,"[(0, 6, 'ORG'), (28, 34, 'DATE'), (14, 24, 'MONEY')]"
Emma wrote about Starry Night in Mandarin.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 41, 'LANGUAGE')]"
John visited Sydney during the World Cup.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
Olivia is an Japanese citizen working in Rome.,"[(0, 6, 'PER'), (41, 45, 'LOC'), (13, 21, 'NATIONALITY')]"
Sophia donated $5 million to NASA.,"[(0, 6, 'PER'), (29, 33, 'ORG'), (15, 25, 'MONEY')]"
Google follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
WHO raised €1 billion in December 2024.,"[(0, 3, 'ORG'), (25, 38, 'DATE'), (11, 21, 'MONEY')]"
John wrote about Mona Lisa in Hindi.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 35, 'LANGUAGE')]"
David wrote about Guernica in English.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 37, 'LANGUAGE')]"
iPhone was launched by Amazon at the Super Bowl.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 47, 'EVENT')]"
The Burj Khalifa is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
Galaxy S22 was launched by Tesla at the Comic-Con.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 49, 'EVENT')]"
Alice is an American citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in Berlin.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
The Empire State Building is a famous monument in Toronto.,"[(50, 57, 'LOC'), (4, 25, 'FACILITY')]"
NASA raised €1 billion in 2023.,"[(0, 4, 'ORG'), (26, 30, 'DATE'), (12, 22, 'MONEY')]"
Amazon announced a new Kindle on April.,"[(0, 6, 'ORG'), (33, 38, 'DATE'), (23, 29, 'PRODUCT')]"
Starry Night is displayed at a museum in Paris.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Liam wrote about Mona Lisa in Mandarin.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 38, 'LANGUAGE')]"
The Empire State Building is a famous monument in London.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
UN raised €1 billion in June 5.,"[(0, 2, 'ORG'), (24, 30, 'DATE'), (10, 20, 'MONEY')]"
Michael wrote about Starry Night in French.,"[(0, 7, 'PER'), (20, 32, 'WORK_OF_ART'), (36, 42, 'LANGUAGE'), (36, 42, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Paris.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Emma visited London during the Olympics.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 39, 'EVENT')]"
Apple raised $5 million in Monday.,"[(0, 5, 'ORG'), (27, 33, 'DATE'), (13, 23, 'MONEY')]"
Robert is an French citizen working in Berlin.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
Sarah donated $5 million to Apple.,"[(0, 5, 'PER'), (28, 33, 'ORG'), (14, 24, 'MONEY')]"
The Burj Khalifa is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Emma donated €200 to Apple.,"[(0, 4, 'PER'), (21, 26, 'ORG'), (13, 17, 'MONEY')]"
Olivia donated $100 to Google.,"[(0, 6, 'PER'), (23, 29, 'ORG'), (15, 19, 'MONEY')]"
Amazon announced a new Galaxy S22 on June 5.,"[(0, 6, 'ORG'), (37, 43, 'DATE'), (23, 33, 'PRODUCT')]"
UNICEF announced a new PlayStation on 2023.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 42, 'DATE'), (23, 34, 'PRODUCT')]"
John is an Canadian citizen working in London.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Google announced a new iPhone on Monday.,"[(0, 6, 'ORG'), (33, 39, 'DATE'), (23, 29, 'PRODUCT')]"
The Eiffel Tower is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Mona Lisa is displayed at a museum in Sydney.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in Toronto.,"[(41, 48, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Liam donated $100 to Netflix.,"[(0, 4, 'PER'), (21, 28, 'ORG'), (13, 17, 'MONEY')]"
Microsoft follows the GDPR strictly.,"[(0, 9, 'ORG'), (22, 26, 'LAW')]"
WHO follows the Patent Act strictly.,"[(0, 3, 'ORG'), (16, 26, 'LAW')]"
Starry Night is displayed at a museum in Paris.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
"WHO raised ₹50,000 in August 15.","[(0, 3, 'ORG'), (22, 31, 'DATE'), (11, 18, 'MONEY')]"
Sophia is an Japanese citizen working in Sydney.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in Mumbai.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Sophia is an French citizen working in Tokyo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
WHO announced a new Galaxy S22 on December 2024.,"[(0, 3, 'ORG'), (34, 47, 'DATE'), (20, 30, 'PRODUCT')]"
Sarah donated $5 million to UNICEF.,"[(0, 5, 'PER'), (28, 34, 'ORG'), (28, 30, 'ORG'), (14, 24, 'MONEY')]"
Emma wrote about Starry Night in English.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 40, 'LANGUAGE')]"
Michael donated $5 million to Apple.,"[(0, 7, 'PER'), (30, 35, 'ORG'), (16, 26, 'MONEY')]"
Microsoft follows the Patent Act strictly.,"[(0, 9, 'ORG'), (22, 32, 'LAW')]"
Apple announced a new MacBook Pro on December 2024.,"[(0, 5, 'ORG'), (37, 50, 'DATE'), (22, 33, 'PRODUCT')]"
The Burj Khalifa is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Amazon announced a new iPhone on Monday.,"[(0, 6, 'ORG'), (33, 39, 'DATE'), (23, 29, 'PRODUCT')]"
Apple follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
John visited Rome during the Comic-Con.,"[(0, 4, 'PER'), (13, 17, 'LOC'), (29, 38, 'EVENT')]"
Emma wrote about The Last Supper in English.,"[(0, 4, 'PER'), (17, 32, 'WORK_OF_ART'), (36, 43, 'LANGUAGE')]"
Mona Lisa is displayed at a museum in New York.,"[(38, 46, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Robert is an Indian citizen working in Berlin.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'NATIONALITY')]"
"Netflix raised ₹50,000 in 2023.","[(0, 7, 'ORG'), (26, 30, 'DATE'), (15, 22, 'MONEY')]"
The Eiffel Tower is a famous monument in Berlin.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
"Emma donated ₹50,000 to Microsoft.","[(0, 4, 'PER'), (24, 33, 'ORG'), (13, 20, 'MONEY')]"
The Eiffel Tower is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Olivia wrote about Starry Night in English.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 42, 'LANGUAGE')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Emma visited New York during the Coachella.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Robert wrote about The Last Supper in Mandarin.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 46, 'LANGUAGE')]"
UNICEF announced a new MacBook Pro on August 15.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 47, 'DATE'), (23, 34, 'PRODUCT')]"
Microsoft follows the GDPR strictly.,"[(0, 9, 'ORG'), (22, 26, 'LAW')]"
Sophia is an French citizen working in Toronto.,"[(0, 6, 'PER'), (39, 46, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
"Alice donated ₹50,000 to Amazon.","[(0, 5, 'PER'), (25, 31, 'ORG'), (14, 21, 'MONEY')]"
Sophia donated $100 to WHO.,"[(0, 6, 'PER'), (23, 26, 'ORG'), (15, 19, 'MONEY')]"
MacBook Pro was launched by Microsoft at the Coachella.,"[(28, 37, 'ORG'), (0, 11, 'PRODUCT'), (45, 54, 'EVENT')]"
UNICEF announced a new Surface Pro on August 15.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 47, 'DATE'), (23, 34, 'PRODUCT')]"
David wrote about Mona Lisa in Mandarin.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 39, 'LANGUAGE')]"
Starry Night is displayed at a museum in Sydney.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Amazon announced a new MacBook Pro on Monday.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
WHO raised €200 in Monday.,"[(0, 3, 'ORG'), (19, 25, 'DATE'), (11, 15, 'MONEY')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
Mona Lisa is displayed at a museum in Paris.,"[(38, 43, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Alice wrote about Mona Lisa in French.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 37, 'LANGUAGE'), (31, 37, 'NATIONALITY')]"
Michael is an Indian citizen working in Tokyo.,"[(0, 7, 'PER'), (40, 45, 'LOC'), (14, 20, 'NATIONALITY')]"
Kindle was launched by Amazon at the Comic-Con.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 46, 'EVENT')]"
The Last Supper is displayed at a museum in Mumbai.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Amazon raised €1 billion in June 5.,"[(0, 6, 'ORG'), (28, 34, 'DATE'), (14, 24, 'MONEY')]"
Sophia visited Toronto during the Comic-Con.,"[(0, 6, 'PER'), (15, 22, 'LOC'), (34, 43, 'EVENT')]"
Emma visited Berlin during the Comic-Con.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
Michael donated €200 to Amazon.,"[(0, 7, 'PER'), (24, 30, 'ORG'), (16, 20, 'MONEY')]"
Kindle was launched by NASA at the Olympics.,"[(23, 27, 'ORG'), (0, 6, 'PRODUCT'), (35, 43, 'EVENT')]"
NASA raised €200 in April.,"[(0, 4, 'ORG'), (20, 25, 'DATE'), (12, 16, 'MONEY')]"
Liam donated €1 billion to Google.,"[(0, 4, 'PER'), (27, 33, 'ORG'), (13, 23, 'MONEY')]"
Liam visited New York during the World Cup.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
UNICEF follows the Patent Act strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 29, 'LAW')]"
Amazon raised €1 billion in Monday.,"[(0, 6, 'ORG'), (28, 34, 'DATE'), (14, 24, 'MONEY')]"
Liam donated €200 to Netflix.,"[(0, 4, 'PER'), (21, 28, 'ORG'), (13, 17, 'MONEY')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Emma visited Sydney during the Coachella.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
Amazon follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Olivia wrote about Mona Lisa in Mandarin.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 40, 'LANGUAGE')]"
Pixel 8 was launched by UN at the Comic-Con.,"[(24, 26, 'ORG'), (0, 7, 'PRODUCT'), (34, 43, 'EVENT')]"
Amazon announced a new Pixel 8 on August 15.,"[(0, 6, 'ORG'), (34, 43, 'DATE'), (23, 30, 'PRODUCT')]"
"Microsoft raised ₹50,000 in 2023.","[(0, 9, 'ORG'), (28, 32, 'DATE'), (17, 24, 'MONEY')]"
Apple follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
John is an Japanese citizen working in Sydney.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Emma donated €1 billion to UN.,"[(0, 4, 'PER'), (27, 29, 'ORG'), (13, 23, 'MONEY')]"
Sarah visited London during the Coachella.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Kindle was launched by Amazon at the Coachella.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 46, 'EVENT')]"
UN announced a new Surface Pro on June 5.,"[(0, 2, 'ORG'), (34, 40, 'DATE'), (19, 30, 'PRODUCT')]"
Apple follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Netflix raised $5 million in January 1st.,"[(0, 7, 'ORG'), (29, 40, 'DATE'), (15, 25, 'MONEY')]"
Sarah donated $100 to Apple.,"[(0, 5, 'PER'), (22, 27, 'ORG'), (14, 18, 'MONEY')]"
UNICEF follows the Patent Act strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 29, 'LAW')]"
Google announced a new Galaxy S22 on August 15.,"[(0, 6, 'ORG'), (37, 46, 'DATE'), (23, 33, 'PRODUCT')]"
"Apple raised ₹50,000 in 2023.","[(0, 5, 'ORG'), (24, 28, 'DATE'), (13, 20, 'MONEY')]"
"UN raised ₹50,000 in Monday.","[(0, 2, 'ORG'), (21, 27, 'DATE'), (10, 17, 'MONEY')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
The Burj Khalifa is a famous monument in Paris.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
iPhone was launched by Tesla at the Olympics.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 44, 'EVENT')]"
Pixel 8 was launched by Google at the Super Bowl.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 48, 'EVENT')]"
